Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
,1957,12,13,"34.3, 47.8",34.3,47.8,7.1,IRAN,,IRAN:  FARSINAJ,1200,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"34.3, 47.8"
,1957,12,17,"-12.3, 166.7",-12.3,166.7,7.8,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-12.3, 166.7"
,1958,01,15,"-16.5, -72.0",-16.5,-72,7.3,PERU,,PERU: AREQUIPA,28,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-16.5, -72.0"
Tsunami,1958,01,19,"1.5, -79.5",1.5,-79.5,7.6,COLOMBIA,,COLOMBIA-ECUADOR,111,Many (~101 to 1000 deaths),,,46,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,115,Many (~101 to 1000 deaths),,,46,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"1.5, -79.5"
,1958,03,11,"25.0, 125.0",25,125,7.5,JAPAN,,JAPAN:  RYUKYU ISLANDS,,Some (~51 to 100 deaths),,,,Many (~101 to 1000 deaths),,,,,,,,Some (~51 to 100 deaths),,,,Many (~101 to 1000 deaths),,,,,,,"25.0, 125.0"
Tsunami,1958,07,10,"58.37, -136.665",58.37,-136.665,7.8,USA,AK,ALASKA:  LITUYA BAY,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,5,Few (~1 to 50 deaths),,,,,.100,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,"58.37, -136.665"
,1958,07,26,"-13.5, -69.0",-13.5,-69,7.5,PERU,,PERU:  S,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-13.5, -69.0"
Tsunami,1958,11,06,"44.53, 148.54",44.53,148.54,8.3,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"44.53, 148.54"
Tsunami,1959,02,07,"-4.0, -81.5",-4,-81.5,7.4,PERU,,PERU-ECUADOR,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 houses),"-4.0, -81.5"
,1959,04,26,"24.78, 122.7",24.78,122.7,7.5,TAIWAN,,TAIWAN:  TAIPEI,2,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,2,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"24.78, 122.7"
